,title,make,model,variant,price,no specs,mileage,year,fuel,transmission,body type,colour,doors,engine size,CO2,review count,distance,delivery
0,Used Volkswagen California for Sale | AA Cars,Volkswagen,California,OCEAN TDI BMT,"£61,995",9,"5,300",2019,Diesel,Semi auto,Motor caravan,Silver,4,2.0 L,191 g/km,1,3 miles,False
1,Used Volkswagen California for Sale | AA Cars,Volkswagen,California,OCEAN TDI BMT,"£59,995",9,"13,490",2018,Diesel,Semi auto,Motor caravan,Grey,4,2.0 L,177 g/km,1,3 miles,False
2,Used Volkswagen California for Sale | AA Cars,Volkswagen,California,OCEAN TDI BMT,"£58,995",9,"8,187",2017,Diesel,Semi auto,Motor caravan,Grey,4,2.0 L,166 g/km,1,3 miles,False
3,Used Volkswagen California for Sale | AA Cars,Volkswagen,California,OCEAN TDI BMT,"£57,995",9,"16,763",2019,Diesel,Semi auto,Motor caravan,Silver,4,2.0 L,179 g/km,1,3 miles,False
4,Used Land Rover Defender for Sale | AA Cars,Land Rover,Defender,TD LANDMARK,"£51,995",9,"11,969",2016,Diesel,Manual,Window van,Montalcino red pearl,3,2.2 L,269 g/km,47,3 miles,False
5,Used Volkswagen California for Sale | AA Cars,Volkswagen,California,BEACH TDI BLUEMOTION,"£37,995",9,"17,730",2015,Diesel,Automatic,Motor caravan,Silver,4,2.0 L,203 g/km,1,3 miles,False
6,Used Volkswagen Transporter for Sale | AA Cars,Volkswagen,Transporter,T32 BiTDI SHUTTLE SE 204bhp,"£25,995",9,"44,433",2016,Diesel,Manual,Mpv,Silver,5,2.0 L,168 g/km,18,3 miles,False
7,Used Hyundai Santa FE for Sale | AA Cars,Hyundai,Santa FE,2.2 CRDi Premium SE 5dr 4WD Auto,"£35,795",9,"6,000",2020,Diesel,Semiauto,Suv,Blue,5,2.2 L,191 g/km,25,7 miles,False
8,Used Hyundai Kona for Sale | AA Cars,Hyundai,Kona,150kW Premium SE 64kWh 5dr Auto,"£32,995",7,"2,000",2020,Electric,Automatic,Hatchback,Grey,5,,,,7 miles,False
9,Used Hyundai Kona for Sale | AA Cars,Hyundai,Kona,150kW Premium SE 64kWh 5dr Auto,"£31,495",7,"6,000",2020,Electric,Automatic,Hatchback,Blue,5,,,,7 miles,False
10,Used Hyundai Kona for Sale | AA Cars,Hyundai,Kona,150kW Premium SE 64kWh 5dr Auto,"£31,295",7,"8,000",2020,Electric,Automatic,Hatchback,Red,5,,,,7 miles,False
11,Used Hyundai Kona for Sale | AA Cars,Hyundai,Kona,150Kw Premium Se 64Kwh 5Dr Auto,"£30,995",7,"4,500",2020,Electric,Automatic,Hatchback,White,5,,,,7 miles,False
12,Used Hyundai Kona for Sale | AA Cars,Hyundai,Kona,150kW Premium SE 64kWh 5dr Auto,"£28,795",7,"14,511",2019,Electric,Automatic,Hatchback,Orange,5,,,,7 miles,False
13,Used Hyundai Ioniq for Sale | AA Cars,Hyundai,Ioniq,100kW Premium SE 38kWh 5dr Auto,"£26,495",7,"7,500",2020,Electric,Automatic,Hatchback,Silver,5,,,,7 miles,False
14,Used Hyundai Tucson for Sale | AA Cars,Hyundai,Tucson,1.6 CRDi 48V MHD 136 N Line 5dr 2WD DCT,"£24,495",9,"3,000",2020,Hybrid,Semiauto,Suv,Red,5,1.6 L,146 g/km,11,7 miles,False
15,Used Hyundai Tucson for Sale | AA Cars,Hyundai,Tucson,1.6 TGDi 177 Premium 5dr 2WD DCT,"£19,850",9,"2,958",2019,Petrol,Semiauto,Suv,Blue,5,1.6 L,161 g/km,11,7 miles,False
16,Used Hyundai Ioniq for Sale | AA Cars,Hyundai,Ioniq,1.6 GDi Hybrid 1st Edition 5dr DCT,"£18,795",9,787,2020,Hybrid,Automatic,Hatchback,Grey,5,1.6 L,85 g/km,,7 miles,False
17,Used Hyundai Tucson for Sale | AA Cars,Hyundai,Tucson,2.0 CRDi Premium SE 5dr,"£18,170",9,"28,342",2017,Diesel,Manual,Suv,White,5,2.0 L,139 g/km,11,7 miles,False
18,Used Hyundai Tucson for Sale | AA Cars,Hyundai,Tucson,1.7 CRDi Blue Drive Premium SE 5dr 2WD DCT,"£17,295",9,"27,099",2017,Diesel,Semiauto,Suv,Black,5,1.7 L,129 g/km,11,7 miles,False
19,Used Audi A3 for Sale | AA Cars,Audi,A3,30 TFSI 116 S Line 5dr,"£16,795",9,"11,697",2018,Petrol,Manual,Hatchback,White,5,1.0 L,118 g/km,75,7 miles,False
20,Used Hyundai Santa FE for Sale | AA Cars,Hyundai,Santa FE,2.2 CRDi Premium SE 5dr [7 Seats],"£16,495",9,"20,858",2015,Diesel,Manual,Suv,Red,5,2.2 L,159 g/km,25,7 miles,False
21,Used Hyundai Tucson for Sale | AA Cars,Hyundai,Tucson,1.6 TGDi Sport Edition 5dr 2WD,"£15,495",9,"18,247",2017,Petrol,Manual,Suv,Blue,5,1.6 L,169 g/km,11,7 miles,False
